No;Soru;Cevap;Aktif
135;How do you call the money that citizens must contribute to the government for public use? ; Tax.;1
136;What kind of clothes and shoes do you wear to keep it comfortable when hiking? ; Hiking outfit.;1
137;What is the hardest/toughest part of your hand? ; Nails.;1
138;What is the hard object in the center of peaches, apples and pears? ; Stone.;1
139;In a grassland or a swamp can you normally see an alligator ? ; Swamp.;1
140;If you want to find the map of the US, what type of book should you use? ; Atlas.;1
141;Where can you find the index in a book? ; At the end.;1
142;What is the electronic device that wake you up in the morning? ; Alarm clock.;1
143;How do you describe the line that divides a circle in two pieces? ; Chord;1
144;When you react to a stimulus, is your response quick or slow? ; Quick;1
145;Why are bees so important to agriculture? ; Pollination.;1
146;If you are happy with an agreement, what would you like to put at the bottom of the contract with the date? ; Signature.;1
147;What is the natural material used to make a car tire? ; Rubber;1
148;What does the chemical symbol H2O stands for? ; Water.;1
149;A newspaper is published everyday, and a journal is published every month. What do you call the publication that is published four times a year? ; Quarterly.;1
150;What do we call a period of 10 years ? ; Decade;1
151;What do we call a period of 100 years ? ; Century;1
152;What do we call a period of 1000 years ? ; Millennium;1
153;A specialist who repairs leaking water pipes is called as ? ; Plumber;1
154;What is a painting of person head usually called ? ; Portrait;1
155;Where would you find an urban area: in a city or in the countryside ?; a city;1
156;What do we call it when the Moon completely blocks out the light from the Sun ? ;A Solar Eclipse;1
157;What point of compass is directly opposite to East ?;West;1
158;Where do you pay for your purchases at a supermarket ? ;Till or checkout;1
159;What do you call an apartment that is below ground level: a basement apartment or a penthouse?;Basement apartment;1
160;What feature do pianos and computers have in common ? ; Keyboard;1
161;If you are feeling fed up, is it a positive or negative feeling ? ; Negative feeling;1
162;What emergency service is usually called when someone is in trouble at sea : ambulance or coastguard ?; Coastguard;1
163;Name a month that falls between April and June ? ; May;1
164;What word describes moving a program or other material from a website to your computer ? ; Downloading;1
165;What do we call a picture that a doctor takes to see inside your body ? ; X-ray;1
166;A famous canal links the Mediterranean sea with the Indian Ocean. Is it the Corinth or the Suez Canal ? ; Suez Canal;1
167;What crime has someone stealing items from a shop committed: shopfitting or shoplifting ?; Shop Lifting;1
168;If someone is feeling a little ill, they may say they are feeling “under the ” what ? ; Weather;1
169;Who is the person in charge of a football match ? ; Referee;1
170;What do we call the last game in a sporting competition, which decide the champion ? ; Finals;1
171;What is the general term of paintings of the countryside or natural views ? ; Landscape;1
172;Which of these would probably be found in an office : a printer, a blanket or a nail brush ?; a printer;1
173;Where would you store meat you wish to keep frozen at home ? ; Freezer;1
174;What is the most important document you would have to show if you wanted to hire a car ? ; Drivers Licence;1
175;What do you pay when you park in a wrong place? ; Fine/parking fine.;1
176;In addition to A, E, I, O, what is the other vowel letter? ; U.;1
177;What do you call a group of mountains? ; Range.;1
178;What do you call the person who is guilty in law term? ; Criminal.;1
179;When you mix black and white, what color would you get? ; Gray;1
180;Pedestri travel by what? ; By foot.;1
181;What kind of educational institution does a 10-year-old child study in?;Primary school,Elementary School.;1
182;What is the ground military force? ; Army.;1
183;What do bees collect from the center of flowers? ; Pollen.;1
184;How many hemispheres does the equator divide the globe into? ; Two.;1
185;What do we call the legal document that states how peoples property should be allotted aftertheir deaths? ; Will.;1
186;What do you call the son of your sister or brother? ; Nephew.;1
187;What is the nominal form of the wide? ; Width.;1
188;How would you describe an animal that no longer exist on the earth?;Extinct;1
189;What medal does a champion get? ; A gold medal.;1
190;How do you call the buildings of a university or college and the land around them?; Campus;1
191;What is the name for students in universities who have not yet graduated?; Undergraduates.;1
192;When you have the primary, and the secondary, what do you have next? ; Tertiary.;1
193;Who sits in the cockpit of an airplane? ; Pilot;1
194;Which part of the body do mammals use to feed their next generations? ; Breast.;1
195;What material are windows made of? ; Glass.;1
196;What do people with claustrophobia fear? ; Confined space.;1
197;What is the description of events that is spoken with background music during a film or aplay? ; Narration.;1
198;What do you call the persons who study religions? ;Theologians/theologists.;1
199;What is the string on shoes? ; Shoelace, bootlace, cord.;1
200;What is the smallest unit of computer memory? ; Bit.;1
201;Who do you consult, when suffering from fever? ; Doctor.;1
202;What is the device that controls electrical appliances on and off?; Switch.;1
203;How many years does a centennial celebrate? ; 100 years.;1
204;What do we call a festival which is held every four years gathering people together as asporting event? ; Olympics Games.;1
205;What can bring astronauts to space? ; Spacecraft.;1
206;What is the act of students being present at school? ; Attendance.;1
207;What do we call the building that doctors and nurses work in? wer; Hospital /clinic.;1
208;What do we call a reward paid to an employee at the end of the year?;Year-end bonus.;1
209;What do we call a person who is registered for the election?; Candidate.;1
210;What do we call a person who does a job without being paid? ; Volunteer.;1
211;What is the subject studying the nature of society? ; Sociology.;1
212;We call a person used to using the right hand a right-hander, and what do we call a person if the left hand?;Left-hander;1
213;What do we call a photo of a person's face taken from the side? ; Profile.;1
214;What do we call comments in a movie given by a person unseen on the screen? ; Voice over.;1
215;What do we call a list of the times when classes in school happen? ; Curriculum table.;1
216;What are the imaginary lines that run around the earth vertically? ; Longitude.;1
217;What do we call a player who is going to replace another one on the field? ; Substitute.;1
218;What is the process of choosing a person for a position by voting? ; Election.;1
219;Where do passengers stand waiting for a train in the railway station? ; Platform.;1
220;What do you call the daughter of your sister or brother? ; Niece.;1
221;Who is a person who gives evidence in court? ; Witness.;1
222;What is the verb that describes traveling on boat? ; Cruise.;1
223;How do we describe something between continents? ; Intercontinental.;1
224;What is the second month of the year? ; February.;1
225;What kind of liquid do mammals feed their babies? ; Milk.;1
226;Which sense is related to your ears? ; Hearing, auditory.;1
227;How often does a biennial convention take place? ; Every two years.;1
228;What natural resource is used by a carpenter? ; Wood.;1
229;Before airplanes were invented, how did people travel from America to Europe? ; By ship.;1
230;What do the following belong to: roses, daisies, tulips, etc?;Flowers;1
231;What do the following terms describe: kilograms, pounds, and ounces?;Weight.;1
232;When the writer of a book is unknown, what word do we use to describe the writer? ;Anonymous.;1
233;Why are bees important for agriculture? ; Pollination;1
234;What is the collection of comma, period, colon, exclamation marks, and question marks? ;Punctuation.;1
235;What do you call a piece of equipment we use to look at stars? ; Telescope.;1
236;Who is the person who works in a hospital and can do operations? ; Surgeon, doctor.;1
237;What do you use to test the body temperature? ; Thermometer.;1
238;When trains or cars need to go through a mountain, where do they enter the mountain? ;Tunnel.;1
239;What is the first paragraph of an essay? ; Introduction;1
240;What is the dictionary of synonyms and antonyms? ; Thesaurus.;1
241;In the sentence: - He has been quite upset since he went back to school. Which word uses a past tense?;Went.;1
242;"What's the process of people paying money to governments for public services? """;Taxation.;1
243;What identification document do most people need to carry when they travel between countries? ; A passport.;1
244;Would you go to a pharmacist or a surgeon to get a prescription filled after visiting a doctor? ; A pharmacist, chemist;1
245;What shines at night in the sky and uses its own brightness? ; Star.;1
246;What is the natural material used to make car tires? ; Rubber.;1
247;When you react to a stimulus, is your response quick or slow? ; Quick.;1
248;If a magazine is published quarterly, how many times a year is it published? ; Four (times a year).;1
249;What is the external organ used for hearing? ; Ears;1
250;Where would you normally see crosswords? ; Newspaper.;1
251;What do you call the person who plays musical instruments as a job?;Musician.;1
252;Animals with white ivory and long trunk? ; Elephant.;1
253;What do we call a period of 100 years? ; Century;1
254;Which one me 'not limited', infinite or finite? ; Infinite.;1
255;What publication reports current events every day? ; Newspaper.;1
256;How many sides does a pentagon have? ; Five;1
257;What device is used to measure the height of mountains?;Altimeter.;1
258;What do meter and millimeter measure: weight or length?;Length.;1
259;What protects birds on the outside of their bodies? ; Feather.;1
260;What is the ceremony where two people get married? ; Wedding, marriage;1
261;What is the horizontal line that separates the globe into two halves?;Equator.;1
262;Whats the force that pushes everything to the earth? ; Gravity.;1
263;What is the book that describes your own life story? ; Autobiography;1
264;What are the two holes in your nose that you use to breathe? ; Nostrils.;1
265;If you want to read tragedies or comedies, what genre of book do you read? ; Fictions/Novels.;1
266;What does the chemical symbol H2O stand for in chemistry? ; Water.;1
267;What do we call a book that contains lots of words with their meanings ; Dictionary.;1
268;What is the verb describing the process that water becomes ice? ; Freeze.;1
269;If someone lives in an urban area, where do they live? ; City.;1
270;If telescopes are used to locate distant objects, what instrument is employed to magnify miniscule objects? ; Microscope.;1
271;How many years are celebrated in a bicentennial? ; Two hundred.;1
272;What are the instructions that tell you how to cook food? ; Recipe.;1
273;Who is the person who works in a hospital and can do operations? ; Surgeon.;1
274;What is the piece of paper that you receive after you have bought an item? ; Receipt.;1
275;What is the red fluid that flows from the heart to the rest of the body?;Blood.;1
276;What are the things called that you touch with your left hand when you play the guitar? ; Strings.;1
277;What device do you use to type when you use a computer? ; Keyboard.;1
278;In what room do scientists usually do experiments? ; Laboratory.;1
279;On what geographical location would someone be living if their country is surrounded by water on all side? ; Island, islet.;1
280;How many years are there in the passage of a decade? ; 10 years.;1
281;What would call a person who sells prescribed medicines? ; Pharmacist, Chemist.;1
282;What do you call the strap that secures a person in a car or an aeroplane? ; Seatbelt.;1
283;What is the antonym of vertical? ; Horizontal, flat.;1
284;If there are 8 black balls and 1 white ball, and I randomly pick one, which color is most likely to be picked? ; Black.;1
285;What is the opposite of positive=? ; Negative.;1
286;What order is a bibliography usually listed in? ; Alphabetical order.;1
287;What rises from the east in the morning and sets to the west in the evening every day? ;The Sun.;1
288;When you get lost in a city, what do you need to buy to find out where you are and whereto go? ; Map.;1
289;When something is given in a pair, how many of them are there? ; Two.;1
290;What do we call the treatment in which people use needles to ease others' pain? ; Acupuncture.;1
291;What do we use to launch a space shuttle? ; Rocket/Booster.;1
292;How do you describe a line that segments a circle? ; Chord.;1
293;What does a Sundial measure according to the shadow in the sunlight? ; Time, point.;1
294;Where do you call when fire breaks down? Fire & Rescue Services or police station? ; Fire and Rescue Services.;1
295;What do you call a person who works in a garage? ; Mechanic.;1
296;What is the term used to describe a period of seven days? ; Week.;1
297;What do you call a natural tendency for people or animals to behave in a particular way? ;Instinct.;1
298;What are the people who study history and historical evidence? ; Historian.;1
299;What do you throw underwater to keep ships staying on rivers or oce without drifting away? ; Anchor.;1
300;How often does February have one extra day? ; Every four years.;1
301;What do you call the people who work for a company? ; Employees, workers.;1
302;What is the opposite of the word 'public'? ; Private;1
303;What is the boat that carries people from one side of a river to the other? ; Ferry;1
304;What is the opposite of division in mathematics? ; Multiplication.;1
305;What is the joint connecting the foot to the leg? ; Ankle.;1
306;What do we call a dream that is very frightening or unpleasant? ; Nightmare.;1
307;We call numbers like one, three, five odd numbers, then what do we call numbers like two, four, six? ; Even numbers.;1
308;"What is the opposite of ""dangerous""? "; Safe.;1
309;What device is used for breathing? ; Ventilator.;1
310;What do we call a device that cuts grass? ; Mower.;1
311;What do you call a seat with legs but with nothing to support your arms or back? ; Stool.;1
312;If your knees are located in the centre of your legs, which centre are your elbows located in? ;Arms.;1
313;What is the name of the liquid in the pen? ; Ink.;1
314;What do we call a person who can speak several languages? ; Multilingual.;1
315;How many legs does a tripod have? ; Three.;1
316;What is the process in which a doctor finds out the illness? ; Diagnosis.;1
317;What do we call the document in which a political party announces their pl before elections? ; Manifesto.;1
318;What do you call a leave which is taken for a general reason? ; Casual leave.;1
319;What do Internet websites sometimes require you to enter to get a discount on shopping? ; Voucher/coupon.;1
320;What is the direction of the longitude lines on the earth's surface? ; Vertical.;1
321;What is the opposite of multiple? ; Single.;1
322;What do we call the opening in the face used for speaking and eating? ; Mouth.;1
323;What is the bone structure that protects the brain? ; Skull.;1
324;What do we call a person who attacks and robs ships at sea? ; Pirate.;1
325;What do we call a person whose job is cutting up and selling meat? ; Butcher.;1
326;What do we call the head of a court? ; Judge.;1
327;Where do passengers wait for airplanes? ; Terminal/Airport.;1
328;What category do crystals, rubies, and diamonds belong to? ; Gem.;1
329;What do you call your nephew's dad? ; Brother.;1
330;Which one would a vegetarian most likely eat, Chicken sandwiches or fruit salad? ; Fruitsalad.;1
331;What do we call the cloth that covers the screen after a movie ends in cinema? ; Curtain.;1
332;What do people usually use to cut food? ; Knife.;1
333;What part of a plant has petals? ; Flowers.;1
334;What is the subject to study the past events? ; History.;1
335;What do we call a section or a part of a book? ; Chapter.;1
336;What is the main building of a large company or an organization? ; Headquarters.;1
337;What is the star that gives heat and light to the Earth? ; Sun.;1
338;What is the adjective opposite to 'rural'? ; Urban.;1
339;What is the storyline or the series of scenes of novels, movies, short stories or plays? ; Plot.;1
340;What do we call a group of mountains such as the Himalayas? ; Range.;1
341;What do we call the joint that joins the leg to the rest of the body? ; Hip joint.;1
342;What instrument would you use when you want to weigh something up? ; Scale.;1
343; What do we call a person who buys things in a shop? ; Customer/buyer.;1
344;How do you call the money that you pay in advance for receiving newspapers or journals? ;Subscription;1
345;How many sides does an octagon have? ; Eight;1
346;Would you go to a pharmacist or a surgeon with a prescription after visiting a doctor? ; Pharmacist.;1
347;What do pedestri move by? ; Foot/feet.;1
348;What will ice become when it melts? ; Water.;1
349; What are buses, trains, and cars used for? ; Travel/transport/transportation.;1
350;What is the joint between your shoulder and your forearm? ; Elbow.;1
351;What org in your body are for chewing? ; Teeth.;1
352;What do you call someone who cannot speak? ; Dumb.;1
353;When your bone is injured and broken, what would you say you have?; Fracture.;1
354;How many quarters in a calendar year? ; Four.;1
355;How do we call 7 days in time period? ; Week.;1
356;What we call it if trees are cut down in a large area? ; Deforestation.;1
357;What do we call a book containing writings on a particular theme?;Compilation.;1
358;How do we describe a person unable to pay his or her debts? ;Insolvent/bankrupt.;1
359;What do we call a room or building where dead bodies are kept before they are buried? ; Mortuary.;1
360;What do we call a person who fıghts against the government? ; Rebel.;1
361;What do we call one thousand years? ; Millennium.;1
362; What do we call a set of wers to exercises or problems? ; Key.;1
363; What do we call a material that helps to insulate the burn? ; Fireproof material.;1
364;What is the room in which you keep things when you don't need them? ; Storeroom.;1
365;What does 'MBA' stand for? ; Master of Business Administration.;1
366;What do we call the extra working time? ; Overtime.;1
367;What do we call a horse-like animal with a single horn on the head?;Unicorn;1
368;How would you call people who study ancient bones, rocks and plants?; Archaeologist.;1
369;Some calendars begin the week on Sunday, what is the other day which commonly starts a week? ; Monday.;1
370;Where are you going if you are in a downward direction in a map?;South.;1
371;What is the device that shows the time of the day according to the shadow of sunlight? ; Sundial.;1
372;Which continent do China, India, and Japan belong to? ; Asia.;1
373;If you are celebrating a biennial activity, how many years ago did you celebrate it last time? ; Two.;1
374;What do you call the people who travel to visit famous sightseeing locations? ;Tourists.;1
375;If knees are located in your legs, where are elbows located? ; Arms.;1
376;How do you describe the line that divide a circle into the same half?;Diameter.;1
377;What is the opposite of a synonym? ; Antonym.;1
378;What do you call a person who lives next to your house? ; Neighbour.;1
379;What is the opposite of 'wet'? ; Dry.;1
380;Would you go to a pharmacist or a surgeon with a prescription after visiting a doctor? ; Pharmacist.;1
381;What do pedestri move by? ; Foot/feet.;1
382;What will ice become when it melts? ; Water.;1
383;What are buses, trains, and cars used for? ; Travel/transport/transportation.;1
384;What is the joint between your shoulder and your forearm? ; Elbow.;1
385;What org in your body are for chewing? ; Teeth.;1
386;What do you call someone who cannot speak? ; Dumb.;1
387;When your bone is injured and broken, what would you say you have?; Fracture.;1
388;How many quarters in a calendar year? ; Four.;1
389;How do we call 7 days in time period? ; Week.;1
390;What we call it if trees are cut down in a large area? ; Deforestation.;1
391;What do we call a book containing writings on a particular theme?;Compilation.;1
392;How do we describe a person unable to pay his or her debts? ; Insolvent/bankrupt.;1
393;What do we call a room or building where dead bodies are kept before they are buried? ; Mortuary.;1
394;What do we call a person who fights against the government? ; Rebel.;1
395;What do we call one thousand years? ; Millennium.;1
396;What do we call a set of wers to exercises or problems? ; Key.;1
397;What do we call a material that helps to insulate the burn? ; Fireproof material.;1
398;What is the room in which you keep things when you don't need them? ;Storeroom.;1
399;What does 'MBA' stand for? ; Master of Business Administration.;1
400;What do we call the extra working time? ; Overtime.;1
401;What do we call a horse-like animal with a single horn on the head?;Unicorn;1
402;How would you call people who study ancient bones, rocks and plants? ;Archaeologist.;1
403;Some calendars begin the week on Sunday, what is the other day which commonly starts a week? ; Monday.;1
404;Where are you going if you are in a downward direction in a map?;South.;1
405;What is the device that shows the time of the day according to the shadow of sunlight? ; Sundial.;1
406;Which continent do China, India, and Japan belong to? ; Asia.;1
407;If you are celebrating a biennial activity, how many years ago did you celebrate it last time? ; Two.;1
408;What do you call the people who travel to visit famous sightseeing locations? ; Tourists.;1
409;If knees are located in your legs, where are elbows located? ; Arms.;1
410;How do you describe the line that divide a circle into the same half?;Diameter.;1
411;What is the opposite of a synonym? ; Antonym.;1
412;What do you call a person who lives next to your house? ; Neighbour..;1
413;What is the opposite of 'wet'? ; Dry.;1
414;What do we call a group of people who are responsible for governing a country?; Government.;1
415;What is 'BA' for, such as history and literature? ; Bachelor of arts.;1
416;What do we call the opposite of destiny? ; Free will.;1
417;What do we call a ship that carries goods from one place to another?; Freighter / cargo ship.;1
418;What part of the day does a sunrise happen in? ; Dawn.;1
419;What part of a room is over your head? ; Ceiling.;1
420;What do we call a piece of artifıcial hair worn by a judge in some courts of law?; Hairpiece/wig.;1
421;What do we call a short piece of writing containing the main ideas in a document? ; Abstract / summary.;1
422;What do we call buying and trporting goods from another country? ; Import.;1
423;Which is the season of the year when plants start growing again? ; Spring.;1
424;What color do you get if you mix red and yellow? ; Orange.;1
425;What do you call the part of the theatre where actors perform? ; Stage.;1
426;Which is the shortest month of the year? ; February.;1
427;Who should you go to see if you don't feel well? ; Doctor.;1
428;What do you use to call or text a friend? ; Cell phone/mobile phone.;1
429;If you ask someone how old they are, what do you want to know? ; Age.;1
430;What do you get if you successfully complete a university course? ; Diploma.;1
431;What do we call the head of a university department? ; Dean.;1
432;What drink do people get from cows? ; Milk.;1
433;What does a guitarist pluck when playing the instrument? ; String.;1
434;What do judges, solicitors and barristers have to be experts in? ; Law.;1
435;How do we describe a person who does something at the right time? ; Punctual.;1
436;What do we call a picture sent from the post office without an envelope? ;Postcard.;1
437;What do we call all the staff of a department in a college? ; Faculty.;1
438;What is the specialized study in the field of electricity? ; Electronics.;1
439;What do we call the passages between the rows of seats in the theater? ; Aisles.;1
440;By what word do you describe something unlimited or unrestricted in terms of number, quantity, or extent? ; Infinity;1
441;What do we call a group of people who are responsible for governing a country?; Government.;1
442;What is 'BA' for, such as history and literature? ; Bachelor of arts.;1
443;What do we call the opposite of destiny? ; Free will.;1
444;What do we call a ship that carries goods from one place to another?; Freighter / cargo ship.;1
445;What part of the day does a sunrise happen in? ; Dawn.;1
446;What part of a room is over your head? ; Ceiling.;1
447;What do we call a piece of artifıcial hair worn by a judge in some courts of law?; Hairpiece/wig.;1
448;What do we call a short piece of writing containing the main ideas in a document? ; Abstract / summary.;1
449;What do we call buying and trporting goods from another country? ; Import.;1
450;Which is the season of the year when plants start growing again? ; Spring.;1
451;What color do you get if you mix red and yellow? ; Orange.;1
452;What do you call the part of the theatre where actors perform? ; Stage.;1
453;Which is the shortest month of the year? ; February.;1
454;Who should you go to see if you don't feel well? ; Doctor.;1
455;What do you use to call or text a friend? ; Cell phone/mobile phone.;1
456;If you ask someone how old they are, what do you want to know? ; Age.;1
457;What do you get if you successfully complete a university course? ; Diploma.;1
458;What do we call the head of a university department? ; Dean.;1
459;What drink do people get from cows? ; Milk.;1
460;What does a guitarist pluck when playing the instrument? ; String.;1
461;What do judges, solicitors and barristers have to be experts in? ; Law.;1
462;How do we describe a person who does something at the right time? ; Punctual.;1
463;What do we call a picture sent from the post office without an envelope? ;Postcard.;1
464;What do we call all the staff of a department in a college? ; Faculty.;1
465;What is the specialized study in the fıeld of electricity? ; Electronics.;1
466;What do we call the passages between the rows of seats in the theater? ; Aisles.;1
467;By what word do you describe something unlimited or unrestricted in terms of number, quantity, or extent? ; Infinity;1
468;Who specialises in the study of psychological effect of words? ; Psychologist;1
469;Who specialises in the study of earth and its composition? ; Geologist;1
470;What emergency service is usually called when someone is in trouble at sea? ; Coastguard;1
471;The medical graduate serving as an apprentice in a hospital taking medical training is an? ; Intern;1
472;What crime has someone stealing items from a shop committed? ; Shop Lifting;1
